,speaker,date,speak_count,speaker_unique
489,MR FISHER,19960131,7,FISHER
490,VICE CHAIRMAN MCDONOUGH,19960131,6,MCDONOUGH
491,MR TRUMAN,19960131,3,TRUMAN
492,MR MELZER,19960131,8,MELZER
493,MR KOHN,19960131,15,KOHN
494,MR PRELL,19960131,15,PRELL
495,MR SLIFMAN,19960131,1,SLIFMAN
496,MR STOCKTON,19960131,5,STOCKTON
497,MR PARRY,19960131,17,PARRY
498,MR BROADDUS,19960131,13,BROADDUS
499,MS MINEHAN,19960131,17,MINEHAN
500,MR STERN,19960131,8,STERN
501,MR MOSKOW,19960131,8,MOSKOW
502,MR JORDAN,19960131,7,JORDAN
503,MR LINDSEY,19960131,10,LINDSEY
504,MR BOEHNE,19960131,5,BOEHNE
505,MR HOENIG,19960131,4,HOENIG
506,MR GUYNN,19960131,3,GUYNN
507,MS YELLEN,19960131,5,YELLEN
508,ICHAIRMAN GREENSPAN,19960131,4,GREENSPAN
509,MR BERNARDC,19960131,1,BERNARDC
510,EMR MOSKOW,19960131,1,MOSKOW
511,CHAIRMAN GREENSPAN,19960326,55,GREENSPAN
512,MR FISHER,19960326,1,FISHER
513,VICE CHAIRMAN MCDONOUGH,19960326,4,MCDONOUGH
514,MR LINDSEY,19960326,8,LINDSEY
515,MR PRELL,19960326,12,PRELL
516,MR HOENIG,19960326,4,HOENIG
517,MR PARRY,19960326,6,PARRY
518,MR JORDAN,19960326,5,JORDAN
519,MR STOCKTON,19960326,1,STOCKTON
520,GDPMR PRELL,19960326,1,PRELL
521,MR BROADDUS,19960326,3,BROADDUS
522,MR BOEHNE,19960326,2,BOEHNE
523,MR MCTEER,19960326,2,MCTEER
524,MS MINEHAN,19960326,2,MINEHAN
525,MR MOSKOW,19960326,2,MOSKOW
526,MR GUYNN,19960326,2,GUYNN
527,MR STERN,19960326,2,STERN
528,MR MELZER,19960326,3,MELZER
529,MR KELLEY,19960326,3,KELLEY
530,MS YELLEN,19960326,2,YELLEN
531,MS PHILLIPS,19960326,2,PHILLIPS
532,MR KOHN,19960326,1,KOHN
533,MR BERNARD,19960326,1,BERNARD
534,MR BERNARDC,19960326,1,BERNARDC
535,CHAIRMAN GREENSPAN,19960521,95,GREENSPAN
536,VICE CHAIRMAN MCDONOUGH,19960521,11,MCDONOUGH
537,MR FISHER,19960521,1,FISHER
538,MR LINDSEY,19960521,9,LINDSEY
539,MR TRUMAN,19960521,4,TRUMAN
540,MR PRELL,19960521,24,PRELL
541,MR PARRY,19960521,7,PARRY
542,MR STOCKTON,19960521,2,STOCKTON
543,MR MOSKOW,19960521,6,MOSKOW
544,MR STERN,19960521,7,STERN
545,MS MINEHAN,19960521,6,MINEHAN
546,MR MCTEER,19960521,3,MCTEER
547,MR GUYNN,19960521,2,GUYNN
548,MR HOENIG,19960521,3,HOENIG
549,MR BOEHNE,19960521,3,BOEHNE
550,MR BROADDUS,19960521,8,BROADDUS
551,ICHAIRMAN GREENSPAN,19960521,1,GREENSPAN
552,MR MELZER,19960521,3,MELZER
553,MS PHILLIPS,19960521,3,PHILLIPS
554,MR KELLEY,19960521,3,KELLEY
555,MS YELLEN,19960521,3,YELLEN
556,MR JORDAN,19960521,6,JORDAN
557,MR KOHN,19960521,11,KOHN
558,MR BERNARD,19960521,1,BERNARD
559,MR BERNARDC,19960521,1,BERNARDC
560,CHAIRMAN GREENSPAN,19960703,201,GREENSPAN
561,MR FISHER,19960703,16,FISHER
562,MR LINDSEY,19960703,35,LINDSEY
563,MS MINEHAN,19960703,30,MINEHAN
564,MR JORDAN,19960703,13,JORDAN
565,MR KOHN,19960703,9,KOHN
566,VICE CHAIRMAN MCDONOUGH,19960703,23,MCDONOUGH
567,MS PHILLIPS,19960703,11,PHILLIPS
568,MR KOS,19960703,2,KOS
569,MR PRELL,19960703,1,PRELL
570,MR TRUMAN,19960703,14,TRUMAN
571,MR PARRY,19960703,24,PARRY
572,MR PRELL,19960703,25,PRELL
573,MR STERN,19960703,12,STERN
574,MR STOCKTON,19960703,3,STOCKTON
575,CPICHAIRMAN GREENSPAN,19960703,3,GREENSPAN
576,MR HOENIG,19960703,10,HOENIG
577,MR MEYER,19960703,26,MEYER
